Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0201_0603Metric",143.215400,-86.420960,0.000000,top
"C2","12pF","C_0201_0603Metric",140.213120,-75.737720,180.000000,top
"C3","0.8pF","C_0201_0603Metric",146.232880,-78.978760,0.000000,top
"C4","100pF","C_0201_0603Metric",144.901920,-78.013520,270.000000,top
"C7","100pF","C_0201_0603Metric",144.119600,-78.008480,270.000000,top
"C8","4.7uF","C_0603_1608Metric",149.458680,-87.254180,90.000000,top
"C9","1.0uF","C_0402_1005Metric",141.544040,-84.544040,270.000000,top
"C12","12pF","C_0201_0603Metric",141.919960,-88.041480,270.000000,top
"C13","12pF","C_0201_0603Metric",145.303240,-88.021200,270.000000,top
"C14","12pF","C_0201_0603Metric",140.213120,-79.730600,180.000000,top
"J4","Conn_Coaxial","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",146.604240,-75.016360,90.000000,top
"L1","3.9nH","L_0201_0603Metric",146.537680,-77.973360,90.000000,top
"U1","nRF52832-QFxx","QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm",146.370040,-83.418680,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",140.324840,-77.663040,180.000000,top
"Y2","Crystal","Crystal_SMD_2012-2Pin_2.0x1.2mm",143.621760,-88.066880,0.000000,top
