Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",144.195800,-87.894160,90.000000,top
"C2","12pF","C_0402_1005Metric",140.276720,-75.214480,0.000000,top
"C3","0.8pF","C_0402_1005Metric",147.048080,-79.263240,180.000000,top
"C4","100nF","C_0402_1005Metric",149.367240,-86.840200,90.000000,top
"C5","100nF","C_0402_1005Metric",140.230720,-81.097120,0.000000,top
"C7","100pF","C_0402_1005Metric",144.416920,-78.237080,0.000000,top
"C8","4.7uF","C_0603_1608Metric",143.042640,-87.752020,90.000000,top
"C9","1.0uF","C_0603_1608Metric",141.655800,-85.628580,90.000000,top
"C14","12pF","C_0402_1005Metric",140.246240,-80.152240,180.000000,top
"J4","Conn_Coaxial","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",146.604240,-75.016360,90.000000,top
"L1","3.9nH","L_0402_1005Metric",146.573240,-77.797800,90.000000,top
"U1","nRF52832-QFxx","QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm",146.370040,-83.418680,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",140.324840,-77.663040,270.000000,top
